threshold,input_length_days,washout_days,algo,shuffle,n_train,n_val,train_positive_after_shuffle,val_positive_after_shuffle,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier
4,14,7,rf,0,671,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.7349726775956285,0.02,0.012406881759458728
4,14,7,rf,1,671,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.4180327868852459,0.009259259259259259,0.022807669432920327
4,14,7,rf,2,671,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.43715846994535523,0.009615384615384616,0.01652862237381906
4,14,7,rf,3,671,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.18032786885245905,0.006369426751592357,0.010415496099183403
4,14,7,rf,4,671,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.1311475409836066,0.00625,0.012711379889746651
3,14,0,rf,0,710,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.2404371584699454,0.007142857142857143,0.022107448910729896
3,14,0,rf,1,710,184,48,1,0.9945652173913043,0.0,0.0,0.0,1.0,1.0,0.0236092454748309
3,14,0,rf,2,710,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.28415300546448086,0.007575757575757576,0.017033547518074992
3,14,0,rf,3,710,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.7486338797814207,0.02127659574468085,0.016431705069919506
3,14,0,rf,4,710,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.8579234972677596,0.037037037037037035,0.012143586447961116
2,14,0,rf,0,713,184,51,1,0.9945652173913043,0.0,0.0,0.0,0.19672131147540983,0.006756756756756757,0.04470524769318753
2,14,0,rf,1,713,184,51,1,0.9945652173913043,0.0,0.0,0.0,0.9617486338797814,0.125,0.06449128203508547
2,14,0,rf,2,713,184,51,1,0.9945652173913043,0.0,0.0,0.0,0.4699453551912568,0.01020408163265306,0.05757206271810715
2,14,0,rf,3,713,184,51,1,0.9945652173913043,0.0,0.0,0.0,0.6994535519125683,0.017857142857142856,0.0441531831864492
2,14,0,rf,4,713,184,51,1,0.9945652173913043,0.0,0.0,0.0,0.8961748633879781,0.05,0.029116016253554537
3,14,7,rf,0,665,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.4426229508196722,0.009708737864077669,0.03887971628050564
3,14,7,rf,1,665,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.14207650273224048,0.006329113924050633,0.08794199158659143
3,14,7,rf,2,665,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.1202185792349727,0.006172839506172839,0.04106783631584837
3,14,7,rf,3,665,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.7213114754098361,0.019230769230769232,0.056804499726981865
3,14,7,rf,4,665,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.20218579234972678,0.006802721088435374,0.0363616443954506
4,14,0,rf,0,712,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.016393442622950838,0.0055248618784530384,0.0540668032002047
4,14,0,rf,1,712,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.9289617486338798,0.07142857142857142,0.10083468341869352
4,14,0,rf,2,712,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.6174863387978142,0.014084507042253521,0.06693986680402113
4,14,0,rf,3,712,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.4972677595628415,0.010752688172043012,0.07890201520262517
4,14,0,rf,4,712,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.9836065573770492,0.25,0.049888024029369295
4,3,0,rf,0,962,217,54,1,0.9262672811059908,0.0,0.0,0.0,0.375,0.007352941176470588,0.05830293180757074
4,3,0,rf,1,962,217,54,1,0.9953917050691244,0.0,0.0,0.0,0.28240740740740744,0.00641025641025641,0.035072043473802945
4,3,0,rf,2,962,217,54,1,0.9953917050691244,0.0,0.0,0.0,0.962962962962963,0.1111111111111111,0.01508436748341554
4,3,0,rf,3,962,217,54,1,0.9447004608294931,0.0,0.0,0.0,0.8287037037037037,0.02631578947368421,0.03356120249473039
4,3,0,rf,4,962,217,54,1,0.9953917050691244,0.0,0.0,0.0,0.587962962962963,0.011111111111111112,0.015839887483271288
4,14,0,xgb,0,712,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.21857923497267762,0.006944444444444444,0.006404739954305889
4,14,0,xgb,1,712,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.8087431693989071,0.027777777777777776,0.015118084144546986
4,14,0,xgb,2,712,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.6174863387978142,0.014084507042253521,0.011024134779019175
4,14,0,xgb,3,712,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.02732240437158473,0.00558659217877095,0.015474570117081515
4,14,0,xgb,4,712,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.994535519125683,0.5,0.005536947543335552
3,14,0,xgb,0,710,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.4590163934426229,0.01,0.007296009189951907
3,14,0,xgb,1,710,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.9726775956284153,0.16666666666666666,0.006969312798417621
3,14,0,xgb,2,710,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.4972677595628415,0.010752688172043012,0.006363042820031865
3,14,0,xgb,3,710,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.540983606557377,0.011764705882352941,0.005972782615986023
3,14,0,xgb,4,710,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.8579234972677595,0.037037037037037035,0.005645841944931849
2,14,7,rf,0,664,184,51,1,0.9945652173913043,0.0,0.0,0.0,0.1311475409836066,0.00625,0.027667961788249092
2,14,7,rf,1,664,184,51,1,0.9945652173913043,0.0,0.0,0.0,0.6065573770491803,0.0136986301369863,0.0320137941425091
2,14,7,rf,2,664,184,51,1,0.9945652173913043,0.0,0.0,0.0,0.41530054644808745,0.009259259259259259,0.01761312192107361
2,14,7,rf,3,664,184,51,1,0.9945652173913043,0.0,0.0,0.0,0.4098360655737705,0.009174311926605505,0.030061380632438326
2,14,7,rf,4,664,184,51,1,0.9945652173913043,0.0,0.0,0.0,0.5846994535519126,0.012987012987012988,0.018991279219926323
3,7,7,rf,0,777,203,49,1,0.9950738916256158,0.0,0.0,0.0,0.599009900990099,0.012195121951219513,0.01926531897117449
3,7,7,rf,1,777,203,49,1,0.9950738916256158,0.0,0.0,0.0,0.9405940594059407,0.07692307692307693,0.016928913759906638
3,7,7,rf,2,777,203,49,1,0.9950738916256158,0.0,0.0,0.0,0.9851485148514851,0.25,0.017936855050863308
3,7,7,rf,3,777,203,49,1,0.9950738916256158,0.0,0.0,0.0,0.4455445544554455,0.008849557522123894,0.026028963036585813
3,7,7,rf,4,777,203,49,1,0.9950738916256158,0.0,0.0,0.0,0.6336633663366337,0.013333333333333334,0.018867324175334592
3,14,7,xgb,0,665,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.2404371584699454,0.007142857142857143,0.006971630905757565
3,14,7,xgb,1,665,184,48,1,0.9782608695652174,0.0,0.0,0.0,0.21857923497267762,0.006944444444444444,0.01832612607726485
3,14,7,xgb,2,665,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.3497267759562842,0.008333333333333333,0.007500067980047098
3,14,7,xgb,3,665,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.5027322404371585,0.010869565217391304,0.005534073687061057
3,14,7,xgb,4,665,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.5519125683060109,0.012048192771084338,0.007378664430750566
3,14,14,rf,0,616,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.4808743169398907,0.010416666666666666,0.04748770371920388
3,14,14,rf,1,616,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.360655737704918,0.00847457627118644,0.027793393587580106
3,14,14,rf,2,616,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.45355191256830596,0.009900990099009901,0.02708846277365453
3,14,14,rf,3,616,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.049180327868852514,0.005714285714285714,0.02498913012846486
3,14,14,rf,4,616,184,48,1,0.9945652173913043,0.0,0.0,0.0,0.8633879781420765,0.038461538461538464,0.0345449093767423
3,7,14,rf,0,717,203,49,1,0.9901477832512315,0.0,0.0,0.0,0.8415841584158416,0.030303030303030304,0.02958303751843189
3,7,14,rf,1,717,203,49,1,0.9950738916256158,0.0,0.0,0.0,0.09900990099009899,0.00546448087431694,0.022978306365746434
3,7,14,rf,2,717,203,49,1,0.9901477832512315,0.0,0.0,0.0,0.6732673267326733,0.014925373134328358,0.019668829689053327
3,7,14,rf,3,717,203,49,1,0.9950738916256158,0.0,0.0,0.0,0.8316831683168316,0.02857142857142857,0.02227852085121426
3,7,14,rf,4,717,203,49,1,0.9901477832512315,0.0,0.0,0.0,0.7772277227722773,0.021739130434782608,0.025982457092366008
4,14,7,xgb,0,671,184,50,1,0.9891304347826086,0.0,0.0,0.0,0.8524590163934426,0.03571428571428571,0.010273704981825157
4,14,7,xgb,1,671,184,50,1,0.9891304347826086,0.0,0.0,0.0,0.21311475409836067,0.006896551724137931,0.026469992933107
4,14,7,xgb,2,671,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.3715846994535519,0.008620689655172414,0.010286238473134778
4,14,7,xgb,3,671,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.10382513661202186,0.006060606060606061,0.006099998100730318
4,14,7,xgb,4,671,184,50,1,0.9945652173913043,0.0,0.0,0.0,0.5081967213114754,0.01098901098901099,0.005920193531730743
3,7,0,rf,0,854,203,49,1,0.9753694581280788,0.0,0.0,0.0,0.13861386138613863,0.005714285714285714,0.05490431963441792
3,7,0,rf,1,854,203,49,1,0.9802955665024631,0.0,0.0,0.0,0.5123762376237624,0.01,0.04663449555943719
3,7,0,rf,2,854,203,49,1,0.9950738916256158,0.0,0.0,0.0,0.18811881188118806,0.006060606060606061,0.04559184031285374
3,7,0,rf,3,854,203,49,1,0.9950738916256158,0.0,0.0,0.0,0.9356435643564357,0.07142857142857142,0.07996376222623189
3,7,0,rf,4,854,203,49,1,0.9950738916256158,0.0,0.0,0.0,0.7821782178217822,0.022222222222222223,0.04148150858798316
2,14,14,rf,0,615,184,51,1,0.9945652173913043,0.0,0.0,0.0,0.3005464480874317,0.007751937984496124,0.07360041746946702
2,14,14,rf,1,615,184,51,1,0.9945652173913043,0.0,0.0,0.0,0.032786885245901676,0.0056179775280898875,0.0441993907205925
2,14,14,rf,2,615,184,51,1,0.9945652173913043,0.0,0.0,0.0,0.8961748633879781,0.05,0.04241199478341876
2,14,14,rf,3,615,184,51,1,0.9945652173913043,0.0,0.0,0.0,0.33333333333333337,0.008130081300813009,0.027223428395489573
2,14,14,rf,4,615,184,51,1,0.9945652173913043,0.0,0.0,0.0,0.912568306010929,0.058823529411764705,0.03475784543467393
4,7,0,rf,0,856,203,51,1,0.9852216748768473,0.0,0.0,0.0,0.5544554455445545,0.01098901098901099,0.06745499515426732
4,7,0,rf,1,856,203,51,1,0.9950738916256158,0.0,0.0,0.0,0.05693069306930698,0.005208333333333333,0.0659818974501559
4,7,0,rf,2,856,203,51,1,0.9950738916256158,0.0,0.0,0.0,0.6584158415841584,0.014285714285714285,0.03680801273336222
4,7,0,rf,3,856,203,51,1,0.9950738916256158,0.0,0.0,0.0,0.8811881188118812,0.04,0.07549399693182675
4,7,0,rf,4,856,203,51,1,0.9950738916256158,0.0,0.0,0.0,0.09405940594059403,0.005434782608695652,0.053328233910353066
3,3,0,rf,0,961,217,53,1,0.9078341013824884,0.0,0.0,0.0,0.125,0.005263157894736842,0.05342847575882829
3,3,0,rf,1,961,217,53,1,0.9953917050691244,0.0,0.0,0.0,0.3935185185185185,0.007575757575757576,0.02128352348517122
3,3,0,rf,2,961,217,53,1,0.9953917050691244,0.0,0.0,0.0,0.16666666666666663,0.0055248618784530384,0.03129916021535908
3,3,0,rf,3,961,217,53,1,0.9953917050691244,0.0,0.0,0.0,0.46759259259259256,0.008620689655172414,0.028094434972821585
3,3,0,rf,4,961,217,53,1,0.9953917050691244,0.0,0.0,0.0,0.3657407407407407,0.007246376811594203,0.02662030009465291
2,3,0,rf,0,963,217,55,1,0.9308755760368663,0.0,0.0,0.0,0.1620370370370371,0.005494505494505495,0.05517679056676524
2,3,0,rf,1,963,217,55,1,0.9953917050691244,0.0,0.0,0.0,0.48611111111111116,0.008928571428571428,0.01573200426792065
2,3,0,rf,2,963,217,55,1,0.9953917050691244,0.0,0.0,0.0,0.8518518518518519,0.030303030303030304,0.02689880482440006
